id,device_id,plugin_id,data,rt_time
1,8c688d4b-4827-41c5-b5d4-95987fd41612,winclipboardloggerpenegt,{'clipboardlog': '\r\n[Clipboard: 3d7f56fd955512b5b29943ee54b9e79718265c78]\r\n'},2022-07-18 12:19:02
2,8c688d4b-4827-41c5-b5d4-95987fd41612,winkeylogpenegt,{'db_key': '<C:\\ProgramData\\update>[F2][Ctrl]c'},2022-07-18 12:19:02
3,8c688d4b-4827-41c5-b5d4-95987fd41612,winkeylogpenegt,{'db_key': '<*WLAN (host 192.168.200.229 && port 8804)>[Up][Up][Up][Up][Up][Up][Up][Up][Down][Down][Enter]'},2022-07-18 12:19:02
4,8c688d4b-4827-41c5-b5d4-95987fd41612,winkeylogpenegt,{'db_key': '[Back][Enter]'},2022-07-18 12:19:02
5,8c688d4b-4827-41c5-b5d4-95987fd41612,winkeylogpenegt,{'db_key': 'tpc[Back][Back][Back]tcp[Back][Back][Back][Back]http.s[Back]r[Back]ir[Back][Back]l[Back][Back]irio[Back][Back][Back][Back]ri[Back][Back][Back]jp[Back][Back]'},2022-07-18 12:19:02
6,8c688d4b-4827-41c5-b5d4-95987fd41612,winkeylogpenegt,{'db_key': '[Back][Back]p.il[Back][Back][Back]uri[Back][Back][Back]requ'},2022-07-18 12:19:02
7,8c688d4b-4827-41c5-b5d4-95987fd41612,winkeylogpenegt,"{'db_key': '.ui[Back][Down][Enter]== [LShift]""""/[Back][Left]/[Enter][Left][Back][LShift]![Enter]'}",2022-07-18 12:19:02
8,8c688d4b-4827-fe1f-b5d4-95987fd41612,winkeylogpenegt,{'db_key': '<正在捕获 WLAN (host 192.168.200.229 && port 8804)>[Back]\\[Back]<WLAN (host 192.168.200.229 && port 8804)>[Enter]'},2022-07-18 12:19:02
9,8c688d4b-4827-41c5-b5d4-93987fd41612,winkeylogpenegt,{'db_key': '<C:\\ProgramData\\update>[RShift][Delete][Enter]'},2022-07-18 12:19:02
10,8c688d4b-4827-41c5-b5d4-95987fd41612,winkeylogpenegt,{'db_key': '<*WLAN (host 192.168.200.229 && port 8804)>[Enter]'},2022-07-18 12:19:02
11,8c688d4b-4827-41c5-b5d4-95987fd41612,winclipboardloggerpenegt,"{'clipboardlog': '\r\n[Clipboard: 8 14:47:39 value.go:543: \nNET: 2022/02/18 14:47:39 value.go:339: GrabAction--->    {""code"":0,""data"":{}}\n]\r\n'}",2022-07-18 12:19:02
12,8c688d4b-4827-41c5-b5d4-95987fd41612,winkeylogpenegt,{'db_key': '<net.log - 记事本>[Ctrl]cc'},2022-07-18 12:19:02
13,B453BB1F-12FA-40A6-99DD-357E1EB3C6BA,winkeylogpenegt,{'db_key': '<net.log - 记事本>[Ctrl]cc'},2022-07-18 12:19:02
14,06d06cba-f744-425f-9740-fb21dd09d017,winkeylogpenegt,{'db_key': '<net.log - 记事本>[Ctrl]cc'},2022-07-18 12:19:02
